[[9, 112], [23, 143]] [0, 0] [5, 8] False
[[8, 112], [22, 143]] [1, 0] [5, 8] False
[[7, 112], [21, 143]] [3, 0] [5, 8] False
[[6, 112], [20, 143]] [6, 0] [5, 8] False
[[6, 112], [20, 143]] [10, 0] [5, 8] False
[[6, 112], [20, 143]] [15, 0] [5, 8] False
[[7, 112], [21, 143]] [21, 0] [5, 8] False
[[8, 112], [22, 143]] [26, 0] [5, 8] False
[[9, 112], [23, 143]] [26, 0] [5, 8] False
[[10, 112], [24, 143]] [26, 0] [5, 8] False
[[11, 112], [25, 143]] [26, 0] [5, 8] False
[[12, 112], [26, 143]] [26, 0] [5, 8] False
[[13, 112], [27, 143]] [26, 0] [5, 8] False
[[14, 112], [28, 143]] [26, 0] [5, 8] False
[[15, 112], [29, 143]] [26, 0] [5, 8] False
[[16, 112], [30, 143]] [26, 0] [5, 8] False
[[16, 112], [30, 143]] [26, 0] [5, 8] False
